"life_exp","exp_edu","gni","mm_ratio","adol_birth","parliament","edu_ratio","labour_ratio"
81.6,17.5,166,4,7.8,39.6,1.00723888314374,0.890829694323144
82.4,20.2,135,6,12.1,30.5,0.996828752642706,0.818941504178273
83,15.8,156,6,1.9,28.5,0.98343685300207,0.825100133511348
80.2,18.7,139,5,5.1,38,0.988612836438924,0.884036144578313
81.6,17.9,140,6,6.2,36.9,0.969060773480663,0.828611898016997
80.9,16.5,137,7,3.8,36.9,0.992783505154639,0.807228915662651
80.9,18.6,127,9,8.2,19.9,1.02417302798982,0.779735682819383
79.1,16.5,154,28,31,19.4,1.00316455696203,0.817126269956459
82,15.9,134,11,14.5,28.2,1,0.867605633802817
81.8,19.2,117,8,25.3,31.4,0.99685204616999,0.840108401084011
83,15.4,180,6,6,25.3,0.914814814814815,0.761658031088083
82.2,15.8,141,4,6.5,43.6,0.990836197021764,0.888070692194403
80.7,16.2,126,8,25.8,23.5,0.998998998998999,0.810771470160116
82.6,19,121,4,11.5,41.3,0.993449781659389,0.910852713178295
81.9,16.9,119,27,2.2,16.3,0.864197530864198,0.694868238557559
82.4,16,115,2,7.8,22.5,0.966781214203895,0.837916063675832
81.7,13.9,157,11,8.3,28.3,1,0.784829721362229
83.5,15.3,122,6,5.4,11.6,1.01398601398601,0.693181818181818
80.8,16.3,133,6,6.7,42.4,0.934861278648975,0.801011804384486
82.2,16,123,12,5.7,25.7,0.9375,0.823051948051948
81.4,15.7,136,4,4.1,30.3,1,0.806499261447563
80.8,17.1,125,4,9.2,42.5,1,0.8703125
80.4,16.8,99,7,0.6,27.7,0.977551020408163,0.82753164556962
82.6,17.3,116,4,10.6,38,0.913816689466484,0.797872340425532
83.1,16,118,4,4,30.1,0.884472049689441,0.665546218487395
78.6,16.4,98,5,4.9,18.9,1.00200601805416,0.748169838945827
80.9,17.6,93,5,11.9,21,0.888059701492537,0.7072
76.8,16.5,94,11,16.8,19.8,1,0.815674891146589
80.2,14,101,10,5.5,12.5,0.930232558139535,0.787623066104079
78.2,13.8,37,6,9.5,0,1.13050847457627,0.531937172774869
76.3,15.1,96,7,15.9,18.7,0.995979899497487,0.744897959183674
77.4,15.5,90,3,12.2,22.1,0.928654970760234,0.75346687211094
73.3,16.4,92,11,10.6,23.4,0.944856839872746,0.829123328380386
80.6,14.4,100,9,18.2,13,0.877237851662404,0.571644042232277
74.3,16.3,153,16,10.2,19.9,0.860597439544808,0.257982120051086
76.3,17.9,85,69,54.4,36.8,0.977430555555555,0.633333333333333
77,13.3,165,8,27.6,17.5,1.19444444444444,0.505434782608696
81.7,15.2,83,22,55.3,15.8,0.959424083769633,0.657754010695187
80.9,16.3,95,8,12.6,31.3,0.989626556016598,0.829305135951662
75.2,15.4,89,14,12.1,10.1,0.991894630192503,0.746666666666667
76.6,14.4,124,22,13.8,15,1.10311284046693,0.451093210586881
74.2,15.2,86,13,13.5,18,0.998989898989899,0.812130177514793
77.3,14.8,65,13,12.7,25.8,0.908119658119658,0.76541095890411
74.4,14.7,185,14,14.5,1.5,0.987566607460036,0.524669073405536
76.2,15.2,46,7,15.2,17.3,0.889123548046463,0.75043630017452
71.3,15.7,59,1,20.6,30.1,0.943600867678959,0.793977812995246
70.1,14.7,87,24,25.7,14.5,0.968648648648649,0.796373779637378
76.8,13.6,120,11,10.6,9.6,0.82661996497373,0.351089588377724
74.7,14.2,61,33,31,12,0.935869565217391,0.750385208012327
77.2,15.5,64,14,58.3,11.5,1.08151093439364,0.723958333333333
75.4,12.6,84,37,28.5,16.7,1.04109589041096,0.873896595208071
69.4,15,81,26,29.9,20.1,0.964574898785425,0.869062901155327
75.6,15.4,34,52,48.4,19.6,1.02052451539339,0.860313315926893
74.2,14.4,50,5,35.9,20.4,0.971786833855799,0.811864406779661
77.6,13.3,62,85,78.5,19.3,1.08216432865731,0.599022004889976
74.7,12.7,88,29,5.7,14.2,0.91304347826087,0.588079470198675
74.4,15.6,60,73,30.9,11.6,0.851724137931034,0.587601078167116
